1000000427973398529,1  1044273651745525760
1000001683005542402,1  1044865180998520838
1000002259,1  1044638390443003905
1000003981039558656,1  1044613028132597760
1000021950314483713,1  1044449096575209472
1000054428060266496,1  1043001847638683648
1000068751809699840,3  1040886522919170048 1043470813012406272 1040858388740165632
1000080839533842432,1  1045054926471270400
1000088053602439168,1  1040361460688400384
1000092983960723456,1  1039255199184027648
1000123475854610435,1  1045261253869015040
1000142817128218625,1  1045009695369564161
1000142960950947840,1  1044264474822291456
1000181390,1  1039330615785672706
1000199562,1  1044682424309805057
1000203229,1  1043549612663959552
1000231446,1  1043519279583387650
1000249279254949888,1  1045160726262734848
1000295443815944192,1  1045028584526630914
1000330435124133888,2  1044108306837655552 1044311071882965002
1000337273152401408,1  1039575763631058944
1000339176733200384,1  1039982980951957505
1000399735,1  971837294750720001
1000416151,1  972321809260478465
1000475209588269056,1  1043373326926839808
1000476354037600256,1  1040032000911073289
1000477695107584000,1  1039362381149872128
100048584,1  1039257209249718272
100052451,1  1045304440792731648
1000531022751072261,1  1042925306544152576
100053342,1  976688720215646208
1000616384,1  975073618597154816
1000637660,1  972688416180711424
100067657,3  971537936075427840 976942555769311232 976954182241587202
1000714851470147584,1  1040323556230529024
1000725448823894016,1  1039954105190572032
1000751965,1  977741232381317120
1000877509708210177,3  1043534669483048965 1043538124343795713 1043539443850915840
100088418,1  1040659014000898048
1000982761858093057,1  1045218143025733632
1001001367400525824,1  1044689452327751680
100102221,5  1044187954732765184 972278898816880642 1044184521640423425 1044188290595852289 1044448873618591744
1001026662270717952,1  1043192284412555264
1001144463681441792,1  1043129571615289344
1001148542520471553,1  1044057505058324480
1001164152675684352,1  1045078151146196992
100117614,1  1043249564948590592
1001190350302703616,1  1040393451337072640
1001242351505956866,1  1044337289990737922
100129235,1  1044317657711947776
1001294341539860490,8  1040231883215450112 1040235706776514560 1040227043483570176 1040219819952533504 1040227765193191424 1040218887558758400 1040217213066727426 1040225077634191366
1001317816849653760,1  1040047355498774528
