1044746868612313089, 1044807204937846787
1044747422558310400, 1044748388388999168
1044747480930357248, 1044959024263958528
1044748102031298561, 1044750254887890945
1044748240137199621, 1045291076477755394
1044748244536971266, 1044754982229168129
1044748246835318785, 1044944207834537985
1044748278741385216, 1044751861226516480
1044749104838979584, 1044750135186444288
1044749333839728640, 1044975606600028165
1044749731614871553, 1044874369833619463
1044749940273156097, 1044977283843452928
1044750164257378304, 1044874666068848640
1044750617930076160, 1044751406178033664
1044750888374620161, 1044751619450011648
1044751373416321024, 1044767198458376193
1044751803794026498, 1044752393303412737
1044752120015200256, 1044752688355962880
1044752308834357248, 1044752575386521602
1044752363410608128, 1044753136261443584
1044752478401638400, 1044820233951809536
1044752734463959040, 1044753326770798592
1044753603385339904, 1044756293087485952
1044753736898424834, 1044788060406378497
1044755168519213057, 1044756257444368385
1044755253193822208, 1044755255341273088
1044755429744492544, 1044764831620841472
1044755755109421057, 1045189830362243072
1044756159784259584, 1044782218760122369
1044756207918096384, 1045049365465690112
1044756490177916928, 1044959400442490882
1044756703835607040, 1044758838254202880
1044757165213405186, 1044914706153185280
1044757230745264128, 1044758354474795008
1044757536640061441, 1044769661685026816
1044758340239265792, 1044761167124557824
1044760019734978560, 1045056726335180800
1044760122235514882, 1044761656159424514
1044760262128021504, 1044760743826968576
1044760277223268352, 1044880233906786304
1044760465220395009, 1044914188471201792
1044761016209469440, 1044762917202210817
1044761294136639488, 1044763009007136770
1044761574421016581, 1044782416030773248
1044761938410917888, 1044763551104204801
1044761941388873729, 1044896558704201728
1044762330687389697, 1044783232733114374
1044762543481335808, 1044798536255070208
1044762579938287617, 1044767242225930240
1044762876865536000, 1044862411780608001
1044763250179690496, 1044984489170989056
1044764375016509440, 1044765451237109760
1044765041071804416, 1044765714425335808
1044765363001421824, 1044950398681960448
1044765571047411714, 1044767151998087168
1044766550371307522, 1045011937656881152
1044767265034575873, 1045113072610930688
1044767451517345792, 1044771796900343808
1044767752270082048, 1044768709150150656
1044767993593421824, 1044768790653788160
1044768057539747841, 1044785479089102848
1044768282518192129, 1044768418078085120
1044769133328576513, 1044779487576117250
1044769308797218822, 1044774621503983616
1044769661685026816, 1044804137769160704
1044769955055636485, 1044769958243303426
1044770080930844673, 1044770839919558656
1044770181589991425, 1044770780805042176
1044770443087888384, 1044928698523119616
1044770731169468416, 1044783134317981706
1044771208686841857, 1044772289848369153
1044772075855114240, 1044782156160159745
